puzzle_index,board,solution_length,execution_time_ms,nodes_expanded,solvable,algorithm
0,ABCDEFG#IJKHMNOL,2,0.014,6,true,BFS
1,ABCDEFGHIJ#LMNKO,2,0.03,10,true,BFS
2,ABCDEFGHIJKLM#NO,2,0.029,10,true,BFS
3,ABCDEFG#IJKHMNOL,2,0.015,6,true,BFS
4,ABCDEFGHIJ#KMNOL,2,0.036,15,true,BFS
5,ABCDEFGHIJKLM#NO,2,0.024,10,true,BFS
6,ABCDEFGHIJ#LMNKO,2,0.034,10,true,BFS
7,ABCDEFGHIJKLM#NO,2,0.022,10,true,BFS
8,ABCDEFG#IJKHMNOL,2,0.013,6,true,BFS
9,ABCDEFGHIJ#KMNOL,2,0.035,15,true,BFS
10,AB#CEFGDIJKHMNOL,4,0.126,52,true,BFS
11,AB#CEFGDIJKHMNOL,4,0.101,52,true,BFS
12,AB#DEFCGIJKHMNOL,4,0.089,40,true,BFS
13,ABCDEFGHINJLM#KO,4,0.08,39,true,BFS
14,ABCDEFGHIJLOMNK#,4,0.06,26,true,BFS
15,ABCDEFGHIJOKMNL#,4,0.111,37,true,BFS
16,ABCDE#GHIFKLMJNO,4,0.094,44,true,BFS
17,AB#DEFCGIJKHMNOL,4,0.084,40,true,BFS
18,ABCDEFGH#JKLIMNO,4,0.075,39,true,BFS
19,ABCDEFGH#IKLMJNO,4,0.099,49,true,BFS
20,#AGCEBFDIJKHMNOL,8,1.798,730,true,BFS
21,AFBCE#HDIJGKMNOL,8,1.982,832,true,BFS
22,EABCIFGD#JKHMNOL,8,1.135,585,true,BFS
23,ABCDEFGH#MKLJINO,8,1.749,763,true,BFS
24,ABCDEFL#IJHGMNKO,8,1.745,743,true,BFS
25,ABCDE#GHMFJKNIOL,8,2.118,865,true,BFS
26,ABCDFGKHEI#LMJNO,8,2.762,877,true,BFS
27,ABCDEFGHMIJLNKO#,8,1.791,858,true,BFS
28,EACDB#GHIFKLMJNO,8,2.974,1093,true,BFS
29,AFBCIEGD#JKHMNOL,8,1.445,617,true,BFS
30,ABDHEFGCIJ#LMNKO,8,2.355,886,true,BFS
31,FBDHAEC#IJGKMNOL,12,36.355,11575,true,BFS
32,ABCDEGOHIJFLM#KN,14,161.643,56746,true,BFS
33,EC#DBAJHIGFLMNKO,14,162.912,61381,true,BFS
34,BGDHACF#ENJLIMKO,16,559.837,177669,true,BFS
35,BCGDAFJH#EKLINMO,16,1327.57,267216,true,BFS
36,BCDHAFGOEJLKIMN#,16,458.769,129438,true,BFS
37,AFBGEJKC#NHDIMOL,16,755.563,206195,true,BFS
38,EB#CFJGDAIKHMNOL,16,1038.51,264357,true,BFS
39,FCGDBAKH#EJLIMNO,16,1004.62,277922,true,BFS
40,BGFCAJLDENKHI#MO,-1,1976.74,514539,false,BFS
41,AFCGIEBD#NKHJMOL,-1,1925.76,514378,false,BFS
